Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo,Car_Age
831.0,SSANGYONG,Actyon,2017,Jeep,1,Petrol,,51671,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,3
333.0,FORD,Fusion,2014,Sedan,1,Hybrid,,0,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,0,,6
707.0,HYUNDAI,Sonata,2011,Sedan,1,Petrol,,163374,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,9
0.0001,TOYOTA,Prius,2007,Hatchback,0,Hybrid,,123000,4,Variator,Front,2026-05-04 00:00:00,Left wheel,Black,4,,13
0.0001,HONDA,FIT,2005,Sedan,0,Petrol,,170000,4,Variator,Front,2026-05-04 00:00:00,Right-hand drive,Silver,4,,15
0.0001,VOLKSWAGEN,Jetta,2013,Sedan,1,Petrol,2.0,135000,4,Manual,Front,2026-05-04 00:00:00,Left wheel,White,8,1.0,7
777.0,HYUNDAI,H1,2014,Minivan,1,Diesel,,132023,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,6
1266.0,TOYOTA,Aqua,2014,Hatchback,0,Hybrid,,134800,4,Variator,Front,2026-05-04 00:00:00,Right-hand drive,Silver,2,,6
891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,,75540,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,4
891.0,HYUNDAI,Sonata,2016,Sedan,1,LPG,,261167,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
971.0,SSANGYONG,REXTON,2016,Jeep,1,Diesel,,55510,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,4
862.0,HYUNDAI,H1,2011,Minivan,1,Diesel,,54862,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Yellow,4,,9
0.0001,LEXUS,GX 460,2015,Jeep,1,Petrol,,57000,8,Automatic,4x4,2026-05-04 00:00:00,Left wheel,White,12,,5
586.0,TOYOTA,Prius,2012,Hatchback,1,Hybrid,,106280,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,8
971.0,SSANGYONG,REXTON,2016,Jeep,1,Diesel,,146978,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
502.0,HONDA,FIT,2013,Universal,1,Hybrid,,80699,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,7
0.0001,FORD,Transit,2010,Goods wagon,0,Diesel,2.2,285000,4,Manual,Front,2026-05-04 00:00:00,Left wheel,White,2,1.0,10
0.0001,MERCEDES-BENZ,ML 350,2006,Jeep,1,Petrol,,176000,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Golden,8,,14
1750.0,TOYOTA,Highlander,2008,Jeep,1,Hybrid,,269162,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Silver,12,,12
765.0,HYUNDAI,Santa FE,2015,Jeep,1,Diesel,,63323,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,5
765.0,HYUNDAI,Santa FE,2015,Jeep,1,Diesel,,104667,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,5
308.0,TOYOTA,Prius,2014,Hatchback,1,Hybrid,,270410,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,6
0.0001,KIA,Optima,2014,Sedan,0,Hybrid,,66000,6,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,White,12,,6
753.0,KIA,Optima,2012,Sedan,1,Petrol,,138000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,12,,8
0.0001,TOYOTA,Prius,2010,Sedan,0,Hybrid,,256000,6,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,1,,10
697.0,HONDA,Civic,2015,Sedan,1,Petrol,,24696,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Red,4,,5
640.0,SSANGYONG,REXTON,2013,Jeep,1,Diesel,,95430,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,7
308.0,TOYOTA,Prius,2014,Hatchback,1,Hybrid,,270410,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,6
697.0,HYUNDAI,Elantra,2015,Hatchback,0,Petrol,,62000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,6,,5
0.0001,MERCEDES-BENZ,E 350,2006,Sedan,1,Petrol,,200000,6,Tiptronic,Rear,2026-05-04 00:00:00,Left wheel,Carnelian red,2,,14
0.0001,TOYOTA,Prius,2013,Hatchback,0,Hybrid,,77000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Blue,10,,7
764.0,KIA,Optima,2016,Sedan,1,Diesel,,31965,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,4
517.0,LEXUS,RX 450,2014,Jeep,1,Hybrid,,68800,6,Tiptronic,Rear,2026-05-04 00:00:00,Left wheel,White,10,,6
880.0,HYUNDAI,Elantra,2018,Sedan,1,Petrol,,53871,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,2
640.0,FORD,Fusion,2013,Sedan,1,Hybrid,,0,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Golden,8,,7
0.0001,FORD,Transit,2003,Microbus,1,Diesel,2.0,300000,4,Manual,Front,2026-05-04 00:00:00,Left wheel,Yellow,1,1.0,17
382.0,HYUNDAI,Sonata,2014,Sedan,1,Hybrid,,11000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,White,12,,6
639.0,HYUNDAI,Santa FE,2014,Jeep,1,Diesel,,231241,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,6
0.0001,TOYOTA,Prius,2010,Hatchback,0,Hybrid,,19000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,6,,10
836.0,HYUNDAI,Sonata,2010,Sedan,1,Petrol,,170000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,10
891.0,HYUNDAI,Sonata,2016,Sedan,1,LPG,,209744,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,4
0.0001,TOYOTA,Prius,2013,Hatchback,0,Hybrid,,71244,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,7
353.0,TOYOTA,Prius,2015,Hatchback,1,Hybrid,,123778,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,12,,5
749.0,HYUNDAI,Sonata,2014,Sedan,1,Petrol,,89000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,White,0,,6
0.0001,HONDA,FIT,2001,Hatchback,1,Petrol,,147000,4,Automatic,Front,2026-05-04 00:00:00,Right-hand drive,Black,4,,19
640.0,HYUNDAI,Santa FE,2013,Jeep,1,Diesel,,149038,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,7
781.0,TOYOTA,Camry,2012,Sedan,1,Hybrid,,156518,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,8
0.0001,FORD,Transit,1998,Microbus,0,Diesel,2.5,2222222,4,Manual,Rear,2026-05-04 00:00:00,Left wheel,White,2,1.0,22
0.0001,TOYOTA,Prius,2006,Sedan,0,Hybrid,,331139,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,14
531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,,132000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,8
919.0,BMW,X5,2012,Jeep,1,Petrol,,232789,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Grey,12,,8
0.0001,HONDA,FIT,2005,Hatchback,0,Petrol,,183000,4,Tiptronic,Front,2026-05-04 00:00:00,Right-hand drive,Silver,5,,15
1249.0,TOYOTA,RAV 4,2017,Jeep,1,Petrol,,63618,4,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Blue,12,,3
0.0001,TOYOTA,Prius,2008,Sedan,0,Hybrid,,211200,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,8,,12
730.0,SSANGYONG,Actyon,2016,Minivan,1,Diesel,,125996,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,4
707.0,HYUNDAI,Tucson,2011,Jeep,1,Diesel,,68047,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,9
777.0,TOYOTA,RAV 4,2014,Jeep,1,Petrol,,148326,4,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Grey,0,,6
836.0,HYUNDAI,Santa FE,2010,Jeep,1,Diesel,,229398,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,10
639.0,HYUNDAI,Elantra,2014,Hatchback,1,Petrol,,46000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,12,,6
0.0001,BMW,X5,2015,Jeep,1,Petrol,3.5,59200,6,Tiptronic,4x4,2026-05-04 00:00:00,Left wheel,Black,12,1.0,5
781.0,HYUNDAI,H1,2012,Minivan,1,Diesel,,62234,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,8
1363.0,LEXUS,GX 460,2012,Jeep,1,Petrol,,255406,8,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Black,0,,8
761.0,TOYOTA,Prius,2010,Sedan,1,Hybrid,,153150,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,10,,10
639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,,686233,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Orange,4,,6
502.0,TOYOTA,Aqua,2013,Hatchback,1,Petrol,,112200,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,7
639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,,389854,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
0.0001,HYUNDAI,Sonata,2010,Sedan,0,Petrol,,127000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,White,0,,10
0.0001,TOYOTA,Prius,2013,Sedan,0,Hybrid,,70042,4,Variator,Front,2026-05-04 00:00:00,Left wheel,Grey,12,,7
749.0,HYUNDAI,Sonata,2014,Sedan,1,Petrol,,166008,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,6
1172.0,MERCEDES-BENZ,E 350,2011,Sedan,1,Diesel,,119379,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Silver,12,,9
831.0,HONDA,Civic,2018,Sedan,1,Petrol,,22237,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,2
640.0,HYUNDAI,Sonata,2013,Sedan,1,Petrol,,232982,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,12,,7
765.0,HYUNDAI,Santa FE,2015,Jeep,1,Diesel,,119038,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,5
1079.0,HYUNDAI,Sonata,2018,Sedan,1,Petrol,,36304,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,2
562.0,CHEVROLET,Cruze,2015,Sedan,1,Petrol,1.4,88000,4,Automatic,Front,5,Left wheel,White,12,1.0,5
640.0,HYUNDAI,Tucson,2013,Jeep,1,Diesel,,64259,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,7
0.0001,TOYOTA,Prius,2007,Sedan,0,Hybrid,,200000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,13
900.0,HYUNDAI,Santa FE,2015,Jeep,1,Petrol,,107106,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,5
0.0001,HONDA,Civic,1995,Hatchback,0,Petrol,,2000,4,Manual,Front,2026-03-02 00:00:00,Left wheel,Silver,2,,25
891.0,HYUNDAI,Sonata,2016,Sedan,1,LPG,,369695,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Orange,4,,4
0.0001,TOYOTA,Aqua,2012,Hatchback,0,Hybrid,,115000,4,Automatic,Front,2026-05-04 00:00:00,Right-hand drive,White,4,,8
308.0,TOYOTA,Prius,2014,Hatchback,1,Hybrid,,0,4,Variator,Front,2026-05-04 00:00:00,Left wheel,White,6,,6
1750.0,TOYOTA,Highlander,2008,Jeep,1,Hybrid,,269162,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Silver,12,,12
0.0001,MERCEDES-BENZ,ML 350,2012,Jeep,1,Diesel,3.0,131000,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Grey,10,1.0,8
609.0,TOYOTA,RAV 4,2018,Sedan,1,Hybrid,,73646,4,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Grey,12,,2
0.0001,HONDA,FIT,2012,Hatchback,0,Hybrid,,81000,4,Automatic,Front,2026-05-04 00:00:00,Right-hand drive,Silver,8,,8
308.0,TOYOTA,Prius,2014,Sedan,0,Hybrid,,90000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Blue,8,,6
760.0,CHEVROLET,Cruze,2010,Sedan,1,Petrol,,41253,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Carnelian red,4,,10
531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,,83198,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,8
765.0,HYUNDAI,Sonata,2015,Sedan,1,LPG,,598779,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Orange,4,,5
836.0,HYUNDAI,Sonata,2010,Sedan,1,Petrol,,71941,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,10
473.0,CHEVROLET,Cruze,2014,Sedan,0,Petrol,,105070,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,0,,6
1327.0,TOYOTA,Camry,2018,Sedan,1,Petrol,,44845,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Brown,12,,2
639.0,CHEVROLET,Cruze,2014,Sedan,1,Diesel,,167691,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
0.0001,TOYOTA,Prius,2008,Hatchback,1,Hybrid,,156000,4,Variator,Front,2026-05-04 00:00:00,Left wheel,White,6,,12
629.0,HYUNDAI,Elantra,2015,Sedan,1,LPG,,35607,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,5
0.0001,HYUNDAI,H1,2009,Minivan,1,Diesel,2.5,120000,6,Tiptronic,Rear,5,Left wheel,Silver,12,1.0,11
1399.0,LEXUS,RX 450,2010,Jeep,1,Hybrid,,413474,6,Automatic,Front,2026-05-04 00:00:00,Left wheel,Blue,12,,10
0.0001,MERCEDES-BENZ,E 350,2006,Sedan,1,LPG,,132000,6,Tiptronic,Rear,2026-05-04 00:00:00,Left wheel,White,8,,14
971.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,,130279,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Brown,4,,4
502.0,TOYOTA,Aqua,2013,Universal,1,Hybrid,,88777,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Yellow,4,,7
1172.0,MERCEDES-BENZ,E 350,2011,Sedan,1,Petrol,,129000,6,Tiptronic,Rear,2026-05-04 00:00:00,Left wheel,Black,12,,9
765.0,HYUNDAI,Santa FE,2015,Jeep,1,Diesel,,95200,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,5
5603.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,,333686,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
779.0,VOLKSWAGEN,Jetta,2013,Sedan,1,Petrol,,184821,5,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,7
502.0,TOYOTA,Aqua,2013,Hatchback,1,Petrol,,123700,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,7
586.0,TOYOTA,Prius,2012,Sedan,0,Hybrid,,95992,4,Variator,Front,2026-05-04 00:00:00,Left wheel,White,0,,8
0.0001,HONDA,FIT,2005,Hatchback,0,Petrol,,224476,4,Automatic,Front,2026-05-04 00:00:00,Right-hand drive,Silver,3,,15
1053.0,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,,200179,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Black,12,,6
0.0001,TOYOTA,Prius,2008,Sedan,1,Petrol,,200211,4,Automatic,Rear,2026-05-04 00:00:00,Left wheel,White,8,,12
0.0001,BMW,X5,2004,Universal,1,Petrol,,255000,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Silver,8,,16
831.0,SSANGYONG,Actyon,2017,Jeep,1,Petrol,,116074,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,3
779.0,TOYOTA,Camry,2013,Sedan,1,Hybrid,,124912,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,7
642.0,HYUNDAI,Sonata,2012,Sedan,1,Petrol,,157367,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,8
639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,,319850,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
1363.0,LEXUS,GX 460,2012,Jeep,1,Petrol,,255406,8,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Black,0,,8
1347.0,HYUNDAI,H1,2008,Minivan,1,Diesel,,42442,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,12
687.0,HYUNDAI,Elantra,2010,Sedan,1,Petrol,,98578,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,10
934.0,TOYOTA,RAV 4,2015,Jeep,1,Petrol,,89786,4,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Silver,0,,5
394.0,TOYOTA,Camry,2014,Sedan,1,Hybrid,,115312,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,12,,6
1236.0,HONDA,FIT,2011,Hatchback,0,Hybrid,,158000,4,Automatic,Front,2026-05-04 00:00:00,Right-hand drive,White,8,,9
639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,,679836,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Orange,4,,6
843.0,TOYOTA,Prius,2008,Hatchback,1,Hybrid,,95520,4,Variator,Front,2026-05-04 00:00:00,Left wheel,Red,0,,12
1347.0,HYUNDAI,H1,2008,Minivan,1,Diesel,,66846,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,12
0.0001,TOYOTA,Camry,2009,Sedan,1,Hybrid,,92000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Sky blue,8,,11
0.0001,TOYOTA,Prius,2011,Sedan,0,Hybrid,,0,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Red,12,,9
629.0,HYUNDAI,Elantra,2015,Sedan,1,Petrol,,135378,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,5
707.0,HYUNDAI,Sonata,2011,Sedan,1,Petrol,,117543,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,9
781.0,TOYOTA,Camry,2012,Sedan,0,Petrol,,83200,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,12,,8
0.0001,FORD,Transit,1999,Microbus,0,Diesel,2.5,430000,4,Manual,Rear,2026-05-04 00:00:00,Left wheel,White,1,1.0,21
753.0,HYUNDAI,Sonata,2012,Sedan,1,Hybrid,,259934,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Red,0,,8
1091.0,HYUNDAI,H1,2016,Minivan,1,Diesel,,90000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
1172.0,MERCEDES-BENZ,ML 350,2011,Jeep,1,Diesel,,186542,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,White,12,,9
765.0,HYUNDAI,Sonata,2015,Sedan,1,LPG,,377240,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Orange,4,,5
650.0,CHEVROLET,Cruze,2016,Sedan,1,Petrol,1.4,99200,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,10,1.0,4
1091.0,HYUNDAI,H1,2016,Universal,1,Diesel,,199596,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
0.0001,FORD,Transit,1995,Goods wagon,0,Diesel,2.5,207888,4,Manual,Rear,2026-05-04 00:00:00,Left wheel,White,0,1.0,25
394.0,TOYOTA,Camry,2014,Sedan,1,Hybrid,,109798,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,6
530.0,HYUNDAI,Elantra,2013,Sedan,1,Petrol,,56764,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,7
891.0,HYUNDAI,Tucson,2016,Jeep,1,Diesel,,88585,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,4
638.0,KIA,Optima,2014,Sedan,1,Petrol,,38878,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
308.0,TOYOTA,Aqua,2015,Hatchback,1,Hybrid,,97500,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,5
501.0,TOYOTA,Aqua,2014,Hatchback,1,Petrol,,96800,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,6
765.0,HYUNDAI,Sonata,2015,Sedan,1,LPG,,540833,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Orange,4,,5
0.0001,TOYOTA,Prius,2005,Sedan,0,Hybrid,,43200,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,0,,15
749.0,KIA,Optima,2014,Sedan,0,Petrol,,99000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Silver,10,,6
880.0,HYUNDAI,Sonata,2018,Sedan,1,Petrol,,35950,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,2
1058.0,TOYOTA,Highlander,2012,Sedan,1,Petrol,,285186,6,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,12,,8
639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,,493905,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
1249.0,TOYOTA,RAV 4,2017,Jeep,1,Petrol,,55362,4,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Blue,12,,3
1024.0,HYUNDAI,H1,2010,Minivan,1,Diesel,,124850,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,10
1249.0,TOYOTA,Camry,2017,Sedan,1,Petrol,,63837,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,12,,3
530.0,FORD,Fusion,2013,Sedan,1,Petrol,1.6,172800,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,10,1.0,7
0.0001,FORD,Transit,1996,Microbus,0,Diesel,,123000,4,Manual,Rear,2026-05-04 00:00:00,Left wheel,White,2,,24
0.0001,TOYOTA,Camry,2018,Sedan,1,Petrol,,60000,6,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,10,,2
1091.0,HYUNDAI,H1,2016,Universal,1,Diesel,,85720,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,4
1677.0,FORD,Transit,2003,Microbus,0,Diesel,2.0,240000,4,Manual,Front,5,Left wheel,White,2,1.0,17
1024.0,HYUNDAI,H1,2010,Minivan,1,Diesel,,45252,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,10
687.0,HYUNDAI,Elantra,2010,Sedan,1,Petrol,,80861,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,10
640.0,FORD,Fusion,2013,Sedan,1,Hybrid,,88660,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,7
609.0,TOYOTA,Camry,2018,Sedan,1,Hybrid,,35058,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,2
583.0,HYUNDAI,Elantra,2011,Sedan,1,Petrol,,141881,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,9
502.0,TOYOTA,Prius,2013,Hatchback,0,Hybrid,,91400,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Silver,12,,7
934.0,HYUNDAI,H1,2015,Universal,1,LPG,,132320,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,5
629.0,HYUNDAI,Elantra,2015,Sedan,1,Petrol,,135378,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,5
639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,,346470,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
777.0,HYUNDAI,H1,2014,Minivan,1,Diesel,,117917,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
586.0,TOYOTA,Prius,2012,Hatchback,1,Hybrid,,72288,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Red,7,,8
890.0,KIA,Optima,2016,Sedan,1,Petrol,,65089,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
586.0,TOYOTA,Prius,2012,Hatchback,0,Hybrid,,102000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,8,,8
528.0,HYUNDAI,Elantra,2014,Sedan,1,Diesel,,78836,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
