Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo,Car_Age
14740,645.0,TOYOTA,Prius,2011,Hatchback,0,Hybrid,,288000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,8,,9
3763,1053.0,MERCEDES-BENZ,ML 350,2014,Jeep,1,Petrol,,94362,6,Automatic,Rear,2026-05-04 00:00:00,Left wheel,White,12,,6
18189,0.0001,TOYOTA,Prius,2012,Sedan,0,Petrol,,175000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,8,,8
5645,1324.0,TOYOTA,Highlander,2010,Jeep,1,Hybrid,,264877,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,White,12,,10
21953,1187.0,HONDA,Civic,2014,Sedan,0,Hybrid,,16000,8,Automatic,4x4,2026-05-04 00:00:00,Right-hand drive,White,10,,6
21953,781.0,TOYOTA,Camry,2012,Sedan,0,Petrol,,195053,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,0,,8
19121,531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,,121362,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,8
36065,639.0,HYUNDAI,Santa FE,2014,Jeep,1,Diesel,,69191,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,6
8781,1111.0,HONDA,FIT,2012,Hatchback,1,Hybrid,,83000,4,Tiptronic,Front,2026-05-04 00:00:00,Right-hand drive,Green,12,,8
6247,760.0,CHEVROLET,Cruze,2010,Sedan,1,Petrol,,40772,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,10
27284,891.0,HYUNDAI,Elantra,2016,Sedan,0,Petrol,,105394,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,12,,4
4234,0.0001,HONDA,Civic,1997,Hatchback,1,Petrol,,0,4,Manual,Front,2026-03-02 00:00:00,Left wheel,Blue,6,,23
2901,473.0,CHEVROLET,Cruze,2014,Sedan,1,Petrol,,80827,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Green,12,,6
15681,1811.0,LEXUS,GX 460,2010,Jeep,1,Petrol,,275240,8,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Silver,0,,10
10663,988.0,TOYOTA,Prius,2007,Hatchback,0,Petrol,,318400,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,6,,13
1019,917.0,BMW,X5,2013,Jeep,1,Diesel,,137802,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Black,12,,7
44752,1091.0,HYUNDAI,H1,2016,Universal,1,Diesel,,86000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,4
17158,687.0,HYUNDAI,Elantra,2010,Sedan,1,Petrol,,122740,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,10
94,0.0001,HONDA,FIT,2003,Hatchback,0,Petrol,,178000,4,Variator,Front,2026-05-04 00:00:00,Right-hand drive,Silver,4,,17
14897,836.0,HYUNDAI,Santa FE,2010,Jeep,1,Diesel,,58962,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,10
23521,779.0,TOYOTA,Camry,2013,Sedan,1,Hybrid,,90000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,White,12,,7
16935,765.0,FORD,Fusion,2015,Sedan,1,Petrol,,71454,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,0,,5
19444,781.0,TOYOTA,Camry,2012,Sedan,1,Petrol,,0,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,6,,8
11604,639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,,346470,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
51965,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,,59515,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Blue,4,,4
706,394.0,TOYOTA,Camry,2014,Sedan,1,Hybrid,,115312,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,12,,6
13328,1347.0,HYUNDAI,H1,2008,Minivan,1,Diesel,,74444,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Yellow,4,,12
20071,0.0001,TOYOTA,RAV 4,2008,Jeep,0,Petrol,,135000,4,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Silver,8,,12
22894,862.0,HYUNDAI,H1,2011,Minivan,1,Diesel,,124444,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Yellow,4,,9
2901,503.0,HONDA,Civic,2012,Sedan,1,Hybrid,,146403,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,0,,8
39829,1811.0,LEXUS,GX 460,2010,Jeep,1,Petrol,,155821,8,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Black,0,,10
18660,0.0001,HYUNDAI,Sonata,2013,Sedan,1,Petrol,,130000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,6,,7
11604,639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,,264872,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
18817,609.0,TOYOTA,Camry,2018,Sedan,1,Hybrid,,35058,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,2
1568,639.0,VOLKSWAGEN,Jetta,2014,Sedan,1,Diesel,,82392,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,12,,6
11290,891.0,HYUNDAI,Sonata,2016,Sedan,1,LPG,,279787,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
862,394.0,TOYOTA,Camry,2014,Sedan,1,Hybrid,,130478,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,6
21395,781.0,HYUNDAI,H1,2012,Universal,1,Diesel,,166144,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,8
15681,891.0,HYUNDAI,Sonata,2016,Sedan,1,LPG,,258706,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
40070,690.0,TOYOTA,Aqua,2016,Hatchback,1,Petrol,,25807,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,4
35927,640.0,SSANGYONG,REXTON,2013,Jeep,1,Diesel,,137267,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,7
21012,308.0,TOYOTA,Prius,2014,Sedan,0,Hybrid,,160000,4,Automatic,4x4,2026-05-04 00:00:00,Left wheel,White,4,,6
20005,531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,,104997,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,8
43880,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,,113700,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
17249,0.0001,TOYOTA,Camry,2011,Sedan,1,Hybrid,,152000,4,Variator,Front,2026-05-04 00:00:00,Left wheel,White,12,,9
44213,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,,50255,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Red,4,,4
21950,831.0,FORD,Transit,2011,Goods wagon,0,Diesel,2.4,125000,4,Manual,4x4,2026-05-04 00:00:00,Left wheel,White,2,1.0,9
3136,473.0,CHEVROLET,Cruze,2014,Sedan,1,Petrol,,156992,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,12,,6
1490,639.0,VOLKSWAGEN,Jetta,2014,Universal,1,Diesel,,113214,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,12,,6
5802,1055.0,MERCEDES-BENZ,E 350,2013,Sedan,1,Diesel,,107800,6,Automatic,Rear,2026-05-04 00:00:00,Left wheel,Grey,12,,7
25716,777.0,TOYOTA,Camry,2014,Sedan,0,Petrol,,115200,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,8,,6
10820,0.0001,TOYOTA,RAV 4,2001,Jeep,0,Petrol,,91000,4,Automatic,4x4,2026-03-02 00:00:00,Right-hand drive,Silver,4,,19
41281,765.0,HYUNDAI,Santa FE,2015,Jeep,1,Diesel,,185811,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,5
12544,0.0001,TOYOTA,Prius,2007,Hatchback,0,Hybrid,,140000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Beige,6,,13
30063,639.0,HYUNDAI,Tucson,2014,Jeep,1,Diesel,,120000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,6
30,0.0001,HONDA,FIT,2002,Hatchback,0,Petrol,,0,4,Automatic,Front,2026-05-04 00:00:00,Right-hand drive,Silver,4,,18
12231,1266.0,TOYOTA,Aqua,2014,Hatchback,0,Hybrid,,66000,4,Variator,Front,2026-05-04 00:00:00,Right-hand drive,Silver,4,,6
10663,0.0001,TOYOTA,Prius,2009,Sedan,1,Hybrid,,230000,4,Variator,Front,2026-05-04 00:00:00,Left wheel,Grey,6,,11
5620,447.0,HONDA,FIT,2013,Hatchback,1,Petrol,,110467,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,7
9408,1111.0,HONDA,FIT,2012,Hatchback,0,Hybrid,,64000,4,Variator,Front,2026-05-04 00:00:00,Right-hand drive,Black,4,,8
3,0.0001,HYUNDAI,Elantra,2011,Sedan,1,Petrol,,80000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Grey,6,,9
26594,777.0,HYUNDAI,H1,2014,Minivan,1,Diesel,,179918,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
14000,585.0,HYUNDAI,Elantra,2013,Sedan,0,Petrol,,50000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Grey,10,,7
17923,473.0,CHEVROLET,Cruze,2014,Sedan,1,Petrol,,127842,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,6
54518,831.0,HYUNDAI,Tucson,2017,Jeep,1,Petrol,,40193,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,3
3450,1249.0,TOYOTA,Camry,2017,Sedan,1,Petrol,,60762,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,3
22063,836.0,HYUNDAI,Tucson,2010,Jeep,1,Diesel,,142264,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,10
2901,503.0,HONDA,Civic,2012,Sedan,1,Hybrid,,146403,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,0,,8
941,642.0,VOLKSWAGEN,Jetta,2012,Sedan,1,Diesel,,203440,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,12,,8
16900,502.0,HONDA,FIT,2013,Hatchback,1,Petrol,,70000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Blue,4,,7
15524,586.0,TOYOTA,Prius,2012,Hatchback,0,Hybrid,,122324,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Red,7,,8
862,333.0,FORD,Fusion,2014,Sedan,1,Hybrid,,186048,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,0,,6
28909,831.0,HYUNDAI,Elantra,2017,Sedan,1,Diesel,,98000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,3
8467,642.0,HYUNDAI,Sonata,2012,Sedan,1,LPG,,573249,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,8
50,0.0001,TOYOTA,Aqua,2013,Sedan,0,Hybrid,,130000,4,Automatic,Rear,2026-05-04 00:00:00,Right-hand drive,Sky blue,0,,7
14426,639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,,169024,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,6
30734,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,,200179,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Black,12,,6
22580,779.0,TOYOTA,Camry,2013,Sedan,1,Petrol,,156666,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,12,,7
7464,247.0,HONDA,FIT,2014,Hatchback,1,Hybrid,,114950,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Blue,4,,6
1333,1091.0,FORD,Fusion,2016,Sedan,1,Petrol,,154850,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,12,,4
59865,879.0,HYUNDAI,Tucson,2019,Jeep,1,Diesel,,13000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,1
68223,1327.0,HYUNDAI,H1,2018,Universal,1,Diesel,,27406,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Yellow,4,,2
22266,0.0001,FORD,Fusion,2013,Sedan,1,Petrol,1.6,85500,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,8,1.0,7
2430,1598.0,MERCEDES-BENZ,E 350,2008,Sedan,1,Diesel,,175614,6,Automatic,Rear,2026-05-04 00:00:00,Left wheel,Black,12,,12
39161,831.0,SSANGYONG,Actyon,2017,Jeep,1,Diesel,,73000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,3
16308,0.0001,FORD,Transit,2008,Microbus,0,Diesel,,180000,4,Manual,Front,2026-05-04 00:00:00,Left wheel,White,2,,12
17719,0.0001,TOYOTA,Camry,2009,Sedan,1,Hybrid,,92000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Sky blue,8,,11
43278,1514.0,LEXUS,GX 460,2011,Jeep,1,Petrol,,160138,8,Automatic,4x4,2026-05-04 00:00:00,Left wheel,White,0,,9
20385,738.0,CHEVROLET,Cruze,2017,Sedan,0,Petrol,1.4,42000,4,Tiptronic,Front,5,Left wheel,Black,12,1.0,3
49858,1077.0,HYUNDAI,Tucson,2019,Jeep,1,Diesel,,48000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,1
9722,765.0,HYUNDAI,Sonata,2015,Sedan,1,LPG,,582376,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Orange,4,,5
51075,1017.0,HYUNDAI,Tucson,2017,Jeep,1,Diesel,,40800,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,3
2587,382.0,FORD,Fusion,2015,Sedan,1,Hybrid,,88795,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,0,,5
15524,1347.0,HYUNDAI,H1,2008,Minivan,1,Diesel,,56769,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,12
4861,779.0,TOYOTA,Camry,2013,Sedan,1,Hybrid,,136861,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Blue,12,,7
18208,531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,,95665,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,8
549,481.0,HYUNDAI,Sonata,2017,Sedan,1,Hybrid,,107387,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,12,,3
43576,1091.0,HYUNDAI,H1,2016,Universal,1,Diesel,,97129,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
18817,738.0,CHEVROLET,Cruze,2017,Hatchback,1,Petrol,,29094,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,0,,3
4861,382.0,FORD,Fusion,2015,Sedan,1,Hybrid,,148709,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Red,12,,5
13172,1399.0,LEXUS,RX 450,2010,Jeep,1,Hybrid,,186005,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Silver,12,,10
39201,456.0,TOYOTA,Camry,2015,Sedan,1,Hybrid,,35000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,10,,5
36426,880.0,HYUNDAI,Elantra,2018,Sedan,1,LPG,,35643,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,2
8467,0.0001,HONDA,Civic,2006,Hatchback,0,Petrol,,250000,4,Manual,Front,2026-05-04 00:00:00,Right-hand drive,Grey,4,,14
12231,0.0001,HYUNDAI,Elantra,2013,Coupe,0,Petrol,,77000,6,Manual,Front,2026-03-02 00:00:00,Left wheel,Beige,0,,7
5802,988.0,TOYOTA,Prius,2007,Hatchback,1,Hybrid,,140000,4,Variator,Front,2026-05-04 00:00:00,Left wheel,Green,12,,13
2901,1277.0,HYUNDAI,Sonata,2018,Sedan,1,Petrol,,45494,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,2
1882,442.0,TOYOTA,Prius,2017,Sedan,1,Hybrid,,47672,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,3
11290,0.0001,HONDA,FIT,2013,Sedan,0,Hybrid,,145000,4,Automatic,Front,2026-05-04 00:00:00,Right-hand drive,Silver,8,,7
14426,0.0001,TOYOTA,Camry,2006,Sedan,1,Hybrid,,188800,4,Variator,Front,2026-05-04 00:00:00,Left wheel,Grey,8,,14
24198,640.0,HYUNDAI,Tucson,2013,Jeep,1,Diesel,,124000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,7
25365,502.0,HONDA,FIT,2013,Hatchback,1,Petrol,,34682,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,7
17249,586.0,TOYOTA,Prius,2012,Sedan,0,Hybrid,,22400,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,8,,8
31361,639.0,HYUNDAI,Sonata,2014,Sedan,1,Petrol,2.0,62000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,White,12,1.0,6
4704,1047.0,HYUNDAI,Elantra,2007,Sedan,1,Diesel,,54279,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,13
12720,645.0,CHEVROLET,Cruze,2011,Sedan,1,Petrol,,135759,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,9
26372,640.0,HYUNDAI,Tucson,2013,Jeep,1,Diesel,,120534,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,7
13485,0.0001,BMW,X5,2003,Jeep,1,LPG,,189000,6,Tiptronic,4x4,2026-05-04 00:00:00,Right-hand drive,Black,10,,17
25591,528.0,HYUNDAI,Elantra,2014,Sedan,1,Petrol,,140000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,6
39829,1811.0,LEXUS,GX 460,2010,Jeep,1,Petrol,,155821,8,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Black,0,,10
13172,1793.0,MERCEDES-BENZ,E 350,2011,Sedan,1,Diesel,,325811,8,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Black,12,,9
12388,919.0,BMW,X5,2012,Jeep,1,Diesel,,420794,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Black,12,,8
18503,0.0001,HYUNDAI,Sonata,2012,Sedan,0,Hybrid,,280480,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,9,,8
40,0.0001,HONDA,FIT,2002,Hatchback,0,Petrol,,135000,4,Variator,Front,2026-05-04 00:00:00,Right-hand drive,Black,4,,18
17054,862.0,HYUNDAI,H1,2011,Universal,1,Diesel,,237853,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,9
9565,765.0,HYUNDAI,Sonata,2015,Sedan,1,LPG,,42000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Orange,4,,5
18817,0.0001,TOYOTA,Camry,2009,Sedan,1,Petrol,,230400,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,12,,11
17249,1051.0,HYUNDAI,Sonata,2016,Sedan,0,Petrol,,77000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Silver,10,,4
15530,891.0,HYUNDAI,Sonata,2016,Sedan,1,LPG,,280016,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
11290,891.0,HYUNDAI,Sonata,2016,Sedan,1,LPG,,270874,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
24148,0.0001,TOYOTA,Prius,2013,Hatchback,0,Hybrid,,118000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Sky blue,12,,7
10036,639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,,362868,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
18817,697.0,HYUNDAI,Elantra,2015,Sedan,0,Petrol,,85000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,12,,5
9252,765.0,HYUNDAI,Sonata,2015,Sedan,1,LPG,,391625,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Orange,4,,5
55823,930.0,HYUNDAI,Tucson,2018,Jeep,1,Diesel,,38577,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,2
25089,0.0001,TOYOTA,Camry,2013,Sedan,1,Petrol,,132800,6,Tiptronic,Rear,2026-05-04 00:00:00,Left wheel,Blue,12,,7
18669,862.0,HYUNDAI,H1,2011,Minivan,1,Diesel,,52686,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,9
15053,1998.0,FORD,Transit,2001,Microbus,0,Diesel,,253206,4,Manual,Rear,2026-05-04 00:00:00,Left wheel,White,2,,19
10660,271.0,HONDA,FIT,2014,Hatchback,1,Hybrid,,76525,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Blue,4,,6
37000,891.0,HYUNDAI,Tucson,2016,Jeep,1,Diesel,,80000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
18826,707.0,SSANGYONG,REXTON,2011,Jeep,1,Diesel,,186412,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,9
14583,1172.0,MERCEDES-BENZ,E 350,2011,Sedan,1,Diesel,,230696,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Black,12,,9
18826,836.0,SSANGYONG,Actyon,2010,Jeep,1,Diesel,,120000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,10
22649,707.0,HYUNDAI,Tucson,2011,Jeep,1,Diesel,,142000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,9
16590,862.0,HYUNDAI,H1,2011,Minivan,1,Diesel,,42415,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,9
